Code,Region,Income,Country_Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ABW,Latin America & Caribbean,High income,Aruba,,,,,,,,,,,,,,,,,,,,98.79692078,96.51616669,97.97286987,100.5206833,99.09117126,97.25244141,95.9417572,97.35636902,102.5597534,94.64913177,96.73602295,95.82353973,97.02787781,111.1597672,,,,,,,,
AFG,South Asia,Low income,Afghanistan,16.76427078,19.32814026,10.59393024,,12.3710804,13.10009956,12.09805012,,13.2018404,12.65581036,10.84996033,15.5900898,,15.42397022,21.44198036,20.82245064,,,,,,12.32462025,,12.54889011,17.5680809,18.61680984,28.25587082,28.49333954,38.19398117,44.42037964,50.5672493,51.75690842,53.61804962,53.57513046,52.582901,51.66994858,51.65594101,53.64319992,55.42520905,,
AGO,Sub-Saharan Africa,Upper middle income,Angola,10.68393993,13.76513958,9.689319611,8.707209587,10.65703964,8.989850044,10.12963963,9.746310234,8.178429604,9.058750153,8.403450012,8.934370041,10.09932995,,,,,,10.81927967,10.74742985,12.26628017,13.85371971,14.98359013,,,,,,21.28945923,22.69255066,26.25922012,26.48254013,,,,,50.67147827,,,,
ALB,Europe & Central Asia,Upper middle income,Albania,90.19371033,91.18641663,87.04559326,82.00112152,82.24952698,85.28296661,88.39248657,87.83217621,88.60356903,88.80329895,90.08174133,90.89363098,77.71475983,70.33512115,68.72905731,68.67848969,67.86755371,69.36618042,71.31360626,71.5446701,71.07807922,72.53716278,72.86855316,75.24343872,74.80220795,77.90939331,79.18955231,82.20059204,84.12509155,85.69499207,88.10388947,89.79815674,92.28983307,96.25608063,97.68486786,97.38848114,95.71499634,95.26589203,95.43232727,95.08659363,94.28032684
AND,Europe & Central Asia,High income,Andorra,,,,49.43996811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,Middle East & North Africa,High income,United Arab Emirates,44.66725922,52.5365715,55.81095886,59.12768936,63.55963898,66.25673676,67.41887665,59.95046997,57.76147842,58.35514832,60.82873154,65.48999023,68.19394684,72.10059357,77.72505951,81.7537384,,79.06778717,79.17507935,,,,,,,,,,,,,,,,,,95.34329224,104.9479294,,102.160347,103.3711014
ARG,Latin America & Caribbean,Upper middle income,Argentina,56.16939163,57.42667007,59.16987991,59.78237915,65.27954102,70.21240997,70.09198761,69.81562805,70.3232193,,71.48957825,72.31278992,,,69.64543152,,78.87084961,75.34275818,81.25853729,92.60516357,95.93660736,96.84546661,95.89910126,94.96169281,94.50717163,92.76067352,91.81352997,91.91613007,93.23705292,96.61971283,99.50125885,101.5350037,103.4764786,105.0414124,106.0355606,106.9464722,108.4623337,108.7335968,107.6472778,108.2308426,
ARM,Europe & Central Asia,Lower middle income,Armenia,,,,,,,,,,,,92.10370636,92.32685852,94.74469757,96.62906647,,93.33640289,93.23616028,80.43602753,80.05667877,92.1519928,88.28202057,,,89.34573364,92.05428314,94.94132996,96.42764282,94.97048187,100.125618,104.7133179,93.13488007,,85.89755249,85.88350677,86.00588989,,,83.15068054,86.47232819,87.25035858
ASM,East Asia & Pacific,Upper middle income,American Samoa,,,,,,,,,,89.91641998,90.75785828,91.33998871,91.55567169,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,Latin America & Caribbean,High income,Antigua and Barbuda,,,,,,,,,,,,,97.57929993,,,,,,,,79.66178131,,,,,,,108.2447205,118.1270523,116.0428467,112.7958298,110.9229431,109.5244293,,106.9801331,108.2302322,,109.2086868,111.1960373,,
