Country Name,Country Code,IMF Category
Australia,AUS,Advanced Economies
Austria,AUT,Advanced Economies
Belgium,BEL,Advanced Economies
Canada,CAN,Advanced Economies
Cyprus,CYP,Advanced Economies
Czech Republic,CZE,Advanced Economies
Denmark,DNK,Advanced Economies
Estonia,EST,Advanced Economies
Finland,FIN,Advanced Economies
France,FRA,Advanced Economies
Germany,DEU,Advanced Economies
Greece,GRC,Advanced Economies
"Hong Kong SAR, China",HKG,Advanced Economies
Iceland,ISL,Advanced Economies
Ireland,IRL,Advanced Economies
Israel,ISR,Advanced Economies
Italy,ITA,Advanced Economies
Japan,JPN,Advanced Economies
"Korea, Rep.",KOR,Advanced Economies
Latvia,LVA,Advanced Economies
Lithuania,LTU,Advanced Economies
Luxembourg,LUX,Advanced Economies
"Macao SAR, China",MAC,Advanced Economies
Malta,MLT,Advanced Economies
Netherlands,NLD,Advanced Economies
New Zealand,NZL,Advanced Economies
Norway,NOR,Advanced Economies
Portugal,PRT,Advanced Economies
Puerto Rico,PRI,Advanced Economies
San Marino,SMR,Advanced Economies
Singapore,SGP,Advanced Economies
Slovak Republic,SVK,Advanced Economies
Slovenia,SVN,Advanced Economies
Spain,ESP,Advanced Economies
Sweden,SWE,Advanced Economies
Switzerland,CHE,Advanced Economies
"Taiwan, China",TWN,Advanced Economies
United Kingdom,GBR,Advanced Economies
United States,USA,Advanced Economies
Afghanistan,AFG,Emerging and Developing Economies
Albania,ALB,Emerging and Developing Economies
Algeria,DZA,Emerging and Developing Economies
Angola,AGO,Emerging and Developing Economies
Antigua and Barbuda,ATG,Emerging and Developing Economies
Argentina,ARG,Emerging and Developing Economies
Armenia,ARM,Emerging and Developing Economies
Aruba,ABW,Emerging and Developing Economies
Azerbaijan,AZE,Emerging and Developing Economies
"Bahamas, The",BHS,Emerging and Developing Economies
Bahrain,BHR,Emerging and Developing Economies
Bangladesh,BGD,Emerging and Developing Economies
Barbados,BRB,Emerging and Developing Economies
Belarus,BLR,Emerging and Developing Economies
Belize,BLZ,Emerging and Developing Economies
Benin,BEN,Emerging and Developing Economies
Bhutan,BTN,Emerging and Developing Economies
Bolivia,BOL,Emerging and Developing Economies
Bosnia and Herzegovina,BIH,Emerging and Developing Economies
Botswana,BWA,Emerging and Developing Economies
Brazil,BRA,Emerging and Developing Economies
Brunei Darussalam,BRN,Emerging and Developing Economies
Bulgaria,BGR,Emerging and Developing Economies
Burkina Faso,BFA,Emerging and Developing Economies
Burundi,BDI,Emerging and Developing Economies
Cabo Verde,CPV,Emerging and Developing Economies
Cambodia,KHM,Emerging and Developing Economies
Cameroon,CMR,Emerging and Developing Economies
Central African Republic,CAF,Emerging and Developing Economies
Chad,TCD,Emerging and Developing Economies
Chile,CHL,Emerging and Developing Economies
China,CHN,Emerging and Developing Economies
Colombia,COL,Emerging and Developing Economies
Comoros,COM,Emerging and Developing Economies
"Congo, Dem. Rep.",COD,Emerging and Developing Economies
Costa Rica,CRI,Emerging and Developing Economies
Cote d'Ivoire,CIV,Emerging and Developing Economies
Croatia,HRV,Emerging and Developing Economies
Djibouti,DJI,Emerging and Developing Economies
Dominica,DMA,Emerging and Developing Economies
Dominican Republic,DOM,Emerging and Developing Economies
Ecuador,ECU,Emerging and Developing Economies
"Egypt, Arab Rep.",EGY,Emerging and Developing Economies
El Salvador,SLV,Emerging and Developing Economies
Equatorial Guinea,GNQ,Emerging and Developing Economies
Eritrea,ERI,Emerging and Developing Economies
Eswatini,SWZ,Emerging and Developing Economies
Ethiopia,ETH,Emerging and Developing Economies
Fiji,FJI,Emerging and Developing Economies
Gabon,GAB,Emerging and Developing Economies
"Gambia, The",GMB,Emerging and Developing Economies
Georgia,GEO,Emerging and Developing Economies
Ghana,GHA,Emerging and Developing Economies
Grenada,GRD,Emerging and Developing Economies
Guatemala,GTM,Emerging and Developing Economies
Guinea,GIN,Emerging and Developing Economies
Guinea-Bissau,GNB,Emerging and Developing Economies
Guyana,GUY,Emerging and Developing Economies
Haiti,HTI,Emerging and Developing Economies
Honduras,HND,Emerging and Developing Economies
Hungary,HUN,Emerging and Developing Economies
India,IND,Emerging and Developing Economies
